work_year,experience_level,salary_in_usd,job_category
2023,SE,365630,Machine Learning
2024,SE,365100,Machine Learning
2024,SE,363000,Software & Data Architecture
2024,SE,363000,Software & Data Architecture
2024,SE,360000,Research & Science
2024,MI,360000,AI Research
2023,SE,360000,Machine Learning
2024,MI,359400,Research & Science
2024,MI,359400,Research & Science
2024,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2023,SE,359170,Data Scientist
2024,SE,357900,Machine Learning
2023,SE,354200,Software & Data Architecture
2023,EX,353200,Leadership & Management
2023,EX,353200,Leadership & Management
2023,SE,351000,Computer Vision & Deep Learning
2023,EN,350000,AI Research
2023,EX,350000,Data Engineer
2023,SE,350000,Machine Learning
2023,SE,350000,Leadership & Management
2023,SE,350000,Research & Science
2022,SE,350000,Data Scientist
2022,SE,345600,Software & Data Architecture
2024,SE,345400,BI & Analytics
2024,SE,345400,Machine Learning
2024,SE,345400,Machine Learning
2024,SE,345000,Research & Science
2023,SE,345000,Research & Science
2023,SE,342810,Computer Vision & Deep Learning
2024,SE,342400,Leadership & Management
2023,SE,342300,Machine Learning
2024,SE,340000,Machine Learning
2024,SE,340000,Research & Science
2023,SE,340000,Machine Learning
2023,MI,340000,Research & Science
2024,SE,339250,AI Research
2024,SE,337300,Research & Science
2024,SE,337300,Research & Science
2024,SE,337300,Research & Science
2024,SE,337300,Research & Science
2023,EX,336400,Leadership & Management
2023,SE,336300,Machine Learning
2024,SE,333500,Research & Science
2024,SE,333500,Machine Learning
2024,SE,333500,AI Research
2024,SE,333500,AI Research
2023,SE,333500,Data Engineer
2023,SE,333500,Machine Learning
2023,EX,333500,Data Engineer
2024,SE,331640,Machine Learning
2024,SE,331640,Data Engineer
2024,SE,331640,Machine Learning
2024,SE,331640,Machine Learning
2023,SE,331640,Machine Learning
2023,SE,331640,Machine Learning
2023,SE,331640,Machine Learning
2023,SE,331640,Machine Learning
2023,SE,331640,Computer Vision & Deep Learning
2023,SE,331640,Machine Learning
2023,SE,331640,Data Engineer
2023,SE,331640,Machine Learning
2023,SE,331640,Machine Learning
2023,SE,331640,Data Engineer
2023,SE,331640,Computer Vision & Deep Learning
2023,SE,331640,Machine Learning
2023,SE,331640,Machine Learning
2023,SE,331640,Machine Learning
2023,SE,330000,Machine Learning
2023,EX,330000,Data Management
2023,SE,330000,Machine Learning
2023,SE,330000,Machine Learning
2023,SE,330000,AI Specialist
2023,SE,330000,AI Specialist
2023,SE,330000,AI Specialist
2023,SE,330000,AI Specialist
2023,EX,330000,Data Management
2023,SE,329700,Data Scientist
2023,EX,329500,Leadership & Management
2023,EX,329500,Leadership & Management
2023,EX,329500,Leadership & Management
2023,EX,329500,Leadership & Management
2023,SE,328400,Machine Learning
2023,SE,328133,Machine Learning
2024,MI,328000,Data Management
2023,SE,328000,Data Management
2024,MI,325000,Data Analyst
2020,EX,325000,Leadership & Management
2024,SE,324000,Machine Learning
2024,SE,324000,Machine Learning
2024,SE,324000,Machine Learning
2024,SE,324000,Machine Learning
2024,SE,324000,Machine Learning
2024,SE,324000,Machine Learning
2024,SE,324000,Machine Learning
2024,SE,324000,Data Scientist
2024,SE,324000,Machine Learning
2023,SE,324000,Machine Learning
2023,SE,324000,Machine Learning
2023,SE,324000,Machine Learning
2023,SE,324000,Data Scientist
2023,SE,324000,Machine Learning
2023,SE,324000,Machine Learning
2022,EX,324000,Data Engineer
2024,SE,323300,Research & Science
2023,SE,323300,Research & Science
2023,SE,323300,Machine Learning
2023,SE,323300,Machine Learning
2023,SE,323300,Data Scientist
2023,SE,323300,Data Scientist
2023,SE,323300,Machine Learning
2023,SE,323300,Data Scientist
2023,SE,323300,Data Scientist
2023,SE,323300,Research & Science
2023,SE,323300,Machine Learning
2024,SE,322000,Data Scientist
2024,SE,322000,Machine Learning
2024,SE,322000,Machine Learning
2024,MI,321830,Data Operations
2024,SE,321000,Research & Science
2024,SE,321000,Research & Science
2023,SE,319000,Machine Learning
2023,SE,319000,Machine Learning
2023,SE,318300,Machine Learning
2023,SE,318300,Machine Learning
2023,SE,317070,Machine Learning
2023,SE,317070,Data Scientist
2024,SE,317000,AI Specialist
2024,SE,316900,Data Engineer
2023,SE,316000,Data Scientist
2023,SE,316000,Data Scientist
2023,SE,316000,Data Scientist
2023,SE,315850,Machine Learning
2023,SE,315850,Machine Learning
2023,SE,315300,Machine Learning
2024,SE,315000,Machine Learning
2022,SE,315000,Data Engineer
2024,SE,314100,Data Scientist
2023,EX,314100,Data Management
2024,SE,313000,Data Engineer
2024,SE,313000,Data Engineer
2024,EX,312287,Data Engineer
2023,SE,311000,Machine Learning
2024,SE,310270,Data Scientist
2023,SE,310270,Data Scientist
2023,SE,310270,Data Scientist
2023,SE,310270,Data Scientist
2023,SE,310270,Data Scientist
2023,SE,310270,Data Scientist
2024,SE,310000,Machine Learning
2024,SE,310000,Machine Learning
